3-d;"etando mísátoabbreviation"
blank dvd+r disc;""
blank dvd+rw disc;""
blank dvd-ram disc;""
blank dvd-rw disc;""
blank page;"lonkásá bulanki"
blank;"bulanki"
blanking;""
blend;"kosanginia"
blink;"kobalisa"
blinking cursor;""
blinking;"kobalisa"
block (unit);""
block (verb);""
block buffer;""
block;"bloki"
blocked;"etɛ́lɛmísámí, ekangámí"
blocking;"kotɛ́lɛmisa"
blockquote;"lingóngisi, blokikoti"
blog;"blógi"
blue;"bulé"
bluetooth;"blútufɛ"
blur image;""
blur;"koniángo"
board;""
body;"nzóto"
bold;"mbinga"
book excerpt;""
book mark;""
bookmark all tabs;""
bookmark this page;""
bookmark;"kotíya lembete"
bookmarked;"lembete etíyámí"
bookmarks;""
boolean;"buléyé"
boot;"koágola"
border and shading;""
border color;""
border;"pémbéni"
bot;"boti"
bottom pane;""
bottom to top;""
bottom;"nsé"
bounced;"ezangi motíndami"
bound;""
boundaries;""
boundary;"ndelo, molelo"
box;"lininísabracket"
brace;""
bracket;""
braille;""
branch;""
brand;"nkómbó"
break (program);""
break point;""
break;""
breakpoint;""
bricks;""
bridge (noun);""
bridge (verb);""
brief;""
bright;"balili"
brightness;"ngaabring to front"
bring forward;""
bring to front;""
bring;"komɛmɛ"
broadband network;""
broadband;"bonɛ́nɛ bwa kɔnɛ́kisó"
broadcast;"kopanza nsango, kopalanginisa"
brochure;""
broken;"ekátání"
brown;"sokolá"
browse folders;""
browse the file system;""
browse;"kolúka"
browser;"molúki"
brush;"bolɔ́si"
buddies;""
buddy pounces;""
buddy;"budi"
buffer size;"bonɛ́nɛ bwa alekalóbí"
buffer;"memúalɛ alekalóbíbug"
bug buddy;""
bug report;"lizóngisi lia bógi"
bug;""
build id;""
build;"kotónga"
built-in;"ekélámí o káti"
bullet / bullet point;"bakabulɛ"
bullet;""
bulleted list;"lístɛ na bakabulɛ"
bulleted;"ya bakabulɛ"
bulletin board;""
bulletin;""
bullets and numbering;""
burn;"kokpalata"
burning;"kokpalata"
burst mode;""
bus;""
business card;""
busy;"okipɛ́, na mosálá"
button;""
button;"lipúngubyte"
by company;""
byte;""
c;""
cable television;""
cable;""
cache;"memúalɛ kashicalculation"
cached;"botíyi na kashi"
calculate;"kokalikilɛ"
calculated;"ya kokalikilɛ"
calculating;"kokalikilɛ"
calculation;""
calculator;"kalikilatilisi"
calendar;"manáka"
calender;""
call back;"kobútoasela"
call out;"kaúka"
call;"kobénga"
callback;""
calling;"kobénga"
callout;""
camcorder;"kaméla"
camera;"masíni ma fɔtɔ́"
can't open directory;""
can't restore;""
can't undo;""
cancel login;""
cancel;"koboma"
canceled;""
cancelled;"ya koboma, ebómámí"
cancelling;"koboma"
canvas;"likútu"
capability;"bokoki"
capable;"kokoka"
capacity;"bonɛ́nɛ"
capital letter;""
capital;"ya likomá enɛ́nɛ"
capitalization;"likomá enɛ́nɛ"
capitalize;"kokoma na likomá enɛ́nɛ"
capplet;""
caps lock;"túsi bofúngi"
caption;"limboli"
capture;""
captured;"ezwámí"
card;"kálati"
caret mode;""
carrier;"momɛmi"
cascade;"komónisa kílíkili"
case (font);""
case sensitive;"botáli likomá"
case/character (oop);""
case;"likomá"
cast shadow;""
catalog / catalogue;"katalogi"
catalog;""
categories;""
category;"katégoli"
caution;"likébisi"
cc (carbon copy);""
cc / carbon copy;"kopí níɛ"
cd / compact disk;"sédé, pálaki"
cd player;""
cd-r disc;""
cd-r;""
cd-rom disc;""
cd-rom;"sédérɔmɛ"
cd-rw disc;""
cd-rw;""
cd/dvd creator;""
cd;""
cde panel;""
cedilla;""
cell contents;""
cell pointer;""
cell reference;""
cell;"ndáko ekɛ́"
cells;""
cellular;""
center (centre);""
center;"kotíya na káti"
centered;"etíyámí na káti"
centimeter (centimetre);""
centimeter / centimetre;"satimɛ́tɛlɛ"
central european;""
